,location,total_sqft,bath,bhk_size,price
314,Malleshpalya,1140.0,2.0,2,46.5
315,Other,1200.0,5.0,5,180.0
316,Other,850.0,2.0,2,27.0
317,Whitefield,1280.0,2.0,2,75.0
318,Munnekollal,1170.0,2.0,2,52.0
319,Other,1113.0,2.0,2,51.0
320,Hennur Road,1385.0,2.0,2,83.09
321,Electronic City,1128.0,2.0,2,65.0
322,Marathahalli,1200.0,2.0,2,128.0
323,Other,1200.0,4.0,4,165.0
325,Giri Nagar,2400.0,4.0,4,400.0
326,Haralur Road,1464.0,3.0,3,56.0
327,Other,1200.0,2.0,2,55.0
328,Kaval Byrasandra,1200.0,2.0,2,52.0
329,Kaggalipura,1150.0,2.0,3,55.0
330,Other,1645.0,3.0,3,95.0
331,Sarjapur  Road,1000.0,2.0,2,67.0
332,Haralur Road,2650.0,4.0,4,198.0
333,6th Phase JP Nagar,1192.0,2.0,2,74.0
334,Ulsoor,2135.0,3.0,3,215.0
335,Whitefield,1173.0,2.0,2,58.0
336,Uttarahalli,1020.0,2.0,2,45.0
338,Somasundara Palya,1600.0,3.0,3,64.0
339,Other,1200.0,2.0,2,79.0
340,Other,1230.0,2.0,2,48.0
341, Devarachikkanahalli,1250.0,2.0,2,40.0
342,Kalena Agrahara,1325.0,2.0,2,76.0
343,7th Phase JP Nagar,1850.0,3.0,3,150.0
344,Kanakpura Road,525.0,3.0,1,21.53
345,Basaveshwara Nagar,1200.0,2.0,2,65.0
346,Other,1350.0,2.0,3,140.0
347,Bommasandra,1260.0,3.0,3,49.36
348,Other,1800.0,3.0,3,150.0
349,Other,11.0,3.0,3,74.0
350,Ardendale,1100.0,2.0,2,43.25
351,Harlur,1508.0,2.0,2,77.0
352,Other,1592.0,3.0,3,75.0
353,Akshaya Nagar,1388.0,2.0,2,57.0
354,Electronic City Phase II,630.0,1.0,1,28.35
355,Other,2000.0,3.0,3,365.0
356,Other,1762.0,3.0,3,125.0
357,Other,950.0,2.0,2,50.0
358,Kodihalli,3252.0,5.0,4,335.0
359,Magadi Road,1116.0,2.0,2,50.0
360,Narayanapura,1308.0,2.0,2,89.04
361,Other,1200.0,3.0,3,90.0
362,Other,1500.0,4.0,4,230.0
363,Bannerghatta Road,500.0,1.0,1,18.5
364,Hennur,1075.0,2.0,2,52.0
365,Chandapura,530.0,1.0,1,11.66
366,Bellandur,1205.0,2.0,2,66.0
367,5th Phase JP Nagar,1075.0,2.0,2,60.0
368,KR Puram,930.0,2.0,2,39.0
369,Balagere,1380.0,2.0,2,60.0
370,Hebbal,2483.0,5.0,4,212.0
371,Kodigehaali,1166.0,2.0,2,55.0
372,Bannerghatta Road,1050.0,2.0,2,65.0
373,Other,2023.71,3.0,3,275.0
374,Begur Road,1200.0,2.0,2,46.8
375,Lakshminarayana Pura,1600.0,2.0,3,108.0
376,Billekahalli,1935.0,3.0,3,110.0
377,8th Phase JP Nagar,451.0,1.0,1,29.9
378,Electronic City,1800.0,3.0,3,95.0
379,Jalahalli,1400.0,3.0,3,77.0
380,Hegde Nagar,1801.0,3.0,3,115.0
381,Mahadevpura,1451.0,2.0,2,90.0
382,Anekal,1200.0,1.0,2,36.0
383,Begur Road,1160.0,2.0,2,44.0
384,Kengeri,1000.0,2.0,2,25.0
385,Kanakpura Road,950.0,2.0,2,40.0
386,Other,1629.0,3.0,3,79.0
387,Vijayanagar,1580.0,2.0,3,134.0
388,Vijayanagar,1826.0,3.0,3,121.0
389,7th Phase JP Nagar,1245.0,2.0,2,94.0
390,Raja Rajeshwari Nagar,1145.0,2.0,2,45.79
391,Sompura,825.0,2.0,2,33.0
392,Yeshwanthpur,1693.0,3.0,3,108.0
393,Electronics City Phase 1,1113.27,2.0,2,53.0
394,Other,1460.0,2.0,2,58.0
395,Doddathoguru,1050.0,2.0,2,32.0
396,Dodda Nekkundi,1260.0,2.0,2,55.0
398,Hosur Road,1656.0,2.0,2,120.0
399,Chandapura,1208.0,3.0,3,45.0
400,Whitefield,1910.0,3.0,3,161.0
401,Whitefield,3252.0,4.0,4,230.0
402,Battarahalli,1200.0,2.0,2,65.0
403,Other,1200.0,4.0,4,175.0
404,7th Phase JP Nagar,1175.0,2.0,2,82.0
405,Other,1000.0,2.0,2,165.0
406,Bannerghatta Road,1200.0,2.0,4,125.0
407,Rajaji Nagar,2390.0,3.0,3,410.0
409,Sultan Palaya,550.0,1.0,2,62.0
410,Kengeri,0.0,1.0,1,18.5
411,Other,1185.0,2.0,2,38.0
412,Kengeri,750.0,2.0,2,38.0
414,Kanakpura Road,1550.0,3.0,3,64.5
415,Other,1760.0,3.0,3,88.0
416,Billekahalli,1125.0,2.0,2,62.0
417,Nagarbhavi,1350.0,3.0,3,150.0
418,Anandapura,1000.0,2.0,2,55.0
419,Bommasandra Industrial Area,1090.0,2.0,2,31.48
420,TC Palaya,1200.0,2.0,2,60.0
421,Budigere,1991.0,4.0,3,103.0
422,Bommasandra,1060.0,2.0,2,26.5
423,Ambalipura,1105.0,2.0,2,75.0
424,Hoodi,985.0,2.0,2,67.0
426,Balagere,1590.0,3.0,3,79.0
427,CV Raman Nagar,1120.0,2.0,2,55.0
428,Other,1069.0,2.0,2,55.0
429,Marathahalli,1933.0,3.0,3,140.0
430,Hosur Road,1194.0,2.0,2,69.0
431,Brookefield,1150.0,2.0,2,69.0
432,Yelenahalli,1240.0,2.0,2,47.12
433,Raja Rajeshwari Nagar,1419.0,2.0,2,48.1
435,Other,2150.0,4.0,3,240.0
436,Other,1450.0,3.0,3,55.0
437,Other,1630.0,3.0,3,68.29
438,Dasanapura,708.0,1.0,2,40.0
439,Kasavanhalli,1000.0,4.0,3,110.0
441,Bellandur,1250.0,2.0,2,76.0
442,7th Phase JP Nagar,1400.0,2.0,3,95.0
443,Sarjapur  Road,1670.0,2.0,3,57.0
444,Ardendale,1750.0,3.0,3,100.0
445,Vittasandra,1404.0,2.0,2,71.0
446,Hoodi,1715.0,2.0,3,95.0
447,Electronic City,630.0,1.0,1,34.65
448,Harlur,1752.12,3.0,3,135.0
449,Hulimavu,1650.0,3.0,3,78.0
450,Raja Rajeshwari Nagar,1295.0,2.0,2,55.47
451,Giri Nagar,1800.0,3.0,3,252.0
452,Sarjapur  Road,1346.0,2.0,2,74.03
453,Other,1200.0,4.0,4,200.0
454,Hormavu,1150.0,2.0,2,55.0
455,Other,3309.0,4.0,4,325.0
456,Chandapura,1190.0,2.0,3,30.35
457,AECS Layout,1620.0,3.0,3,98.0
458,Marathahalli,950.0,2.0,2,46.96
460,Harlur,2450.0,3.0,3,120.0
461,Electronic City Phase II,1220.0,2.0,3,35.23
462,Other,850.0,2.0,2,30.0
463,Padmanabhanagar,1020.0,2.0,2,63.0
464,Chikkalasandra,1100.0,2.0,2,50.0
465,Other,1150.0,2.0,2,126.0
466,Hebbal,1760.0,2.0,3,130.0
467,Ambalipura,1800.0,3.0,3,110.0
468,Akshaya Nagar,1070.0,2.0,2,54.0
469,2nd Stage Nagarbhavi,1500.0,4.0,4,220.0
470,Vidyaranyapura,1440.0,2.0,2,95.0
471,Amruthahalli,900.0,2.0,2,40.0
472,Other,1200.0,4.0,4,230.0
473,Whitefield,1130.0,2.0,2,42.16
474,Koramangala,1320.0,2.0,2,165.0
475,Kodigehalli,1270.0,2.0,2,98.0
476,Other,1200.0,2.0,2,62.0
478,Other,1200.0,2.0,2,74.0
479,Subramanyapura,929.0,2.0,2,50.17
480,Other,1150.0,4.0,4,260.0
481,Basavangudi,1125.0,4.0,4,180.0
482,Kenchenahalli,500.0,3.0,5,65.0
483,Other,1200.0,5.0,5,190.0
484,Other,1464.0,3.0,3,56.0
485,7th Phase JP Nagar,3600.0,4.0,4,400.0
486,Other,2000.0,4.0,4,99.0
487,Chikkalasandra,1208.0,2.0,2,49.0
488,Hebbal Kempapura,1130.0,2.0,2,60.0
489,Other,1753.0,3.0,3,120.0
491,Banjara Layout,600.0,3.0,3,58.0
492,Hoodi,1196.0,2.0,2,94.42
493,5th Phase JP Nagar,1150.0,3.0,2,52.5
494,Electronic City,1128.0,2.0,2,63.0
495,Other,1000.0,2.0,2,53.0
496,Yelahanka,1035.0,2.0,2,45.0
497,Kereguddadahalli,950.0,2.0,2,32.0
498,Bisuvanahalli,1075.0,2.0,3,36.0
499,Whitefield,1040.0,2.0,2,48.5
500,Other,720.0,2.0,2,45.0
501,Lingadheeranahalli,1511.0,3.0,3,95.0
502,Other,1300.0,3.0,3,58.0
503,Hoodi,1545.0,3.0,3,68.75
504,Shampura,375.0,2.0,1,26.0
505,Vidyaranyapura,1062.0,2.0,2,38.0
506,Other,1115.0,2.0,2,40.0
507,JP Nagar,1000.0,2.0,2,35.0
508,Kambipura,883.0,2.0,2,45.0
509,Sarjapur  Road,1195.0,2.0,2,70.0
510,Other,1200.0,3.0,4,165.0
511,Other,700.0,1.0,1,41.0
512,Vittasandra,1246.0,2.0,2,67.0
513,8th Phase JP Nagar,660.0,4.0,4,90.0
515,Other,1600.0,4.0,4,80.0
516,Haralur Road,2805.0,5.0,4,154.0
517,Begur Road,1584.0,3.0,3,65.0
518,Sector 7 HSR Layout,3000.0,5.0,4,275.0
519,Hosur Road,1175.0,2.0,3,48.0
520,Other,1595.0,3.0,3,115.0
521,Other,1353.0,2.0,2,110.0
522,Electronic City,1599.0,3.0,3,125.0
523,Whitefield,1150.0,2.0,2,70.0
525,KR Puram,1155.0,2.0,2,42.74
526,Other,1200.0,2.0,1,85.0
527,Electronic City Phase II,1000.0,2.0,2,25.0
528,Thanisandra,3000.0,4.0,4,120.0
529,Rajiv Nagar,1867.0,3.0,3,160.0
530,Ramagondanahalli,1251.0,2.0,2,47.0
531,Other,1028.0,2.0,2,45.5
532,Arekere,1222.0,2.0,2,45.0
533,Bannerghatta Road,1170.0,2.0,3,66.0
534,Hebbal,2400.0,4.0,3,245.0
535,Other,1385.0,2.0,3,48.48
536,HSR Layout,1372.0,2.0,2,68.0
537,Magadi Road,1282.0,2.0,3,49.0
540,Kanakpura Road,1135.0,2.0,2,39.73
541,Whitefield,1768.0,3.0,3,101.0
542,Other,1325.0,2.0,3,90.0
543,Electronic City,1599.0,3.0,3,99.0
544,Whitefield,1500.0,3.0,3,61.95
546,Uttarahalli,1286.0,2.0,2,63.0
547,Kammanahalli,2845.0,5.0,5,140.0
548,Other,1600.0,2.0,3,50.0
549,Hennur Road,1317.5,2.0,2,63.77
550,Hebbal,3450.0,5.0,3,260.0
551,Munnekollal,1102.0,2.0,2,53.67
552,Yelahanka,1350.0,2.0,2,54.0
553,Banashankari,1200.0,2.0,3,42.0
555,Other,1800.0,1.0,2,80.0
556,Chikkabanavar,950.0,2.0,2,40.0
557,Kanakpura Road,525.0,1.0,1,27.25
558,Attibele,656.0,2.0,2,25.0
559,Marathahalli,1780.0,4.0,4,175.0
560,Other,1056.0,2.0,2,80.0
561,Bannerghatta Road,595.0,1.0,1,33.32
562,Other,1080.0,2.0,2,50.0
563,7th Phase JP Nagar,2225.0,3.0,3,160.0
564,Bommasandra,1126.0,2.0,2,28.15
565,Electronics City Phase 1,1490.0,3.0,3,84.0
566,HRBR Layout,2000.0,4.0,4,300.0
567,Sarjapur  Road,1550.0,3.0,3,100.0
568,Other,1600.0,3.0,3,86.0
569,Other,1160.0,2.0,2,55.0
571,Sarjapur  Road,2100.0,3.0,3,125.0
572,Vittasandra,1404.0,2.0,2,69.3
573,Sarjapur  Road,2230.0,4.0,4,225.0
574,Other,1544.0,3.0,3,120.0
575,Banashankari Stage III,1305.0,2.0,3,58.7
576,Marathahalli,1230.0,2.0,2,80.0
577,Other,1200.0,2.0,2,65.0
578,Harlur,1460.0,3.0,3,73.0
579,Sarjapur  Road,1800.0,3.0,3,34.185
580,Gottigere,967.0,2.0,2,45.0
581,Other,540.0,1.0,1,36.0
582,Hormavu,715.0,1.0,1,46.0
583,Whitefield,2500.0,3.0,3,313.0
584,Other,1578.0,3.0,3,180.0
585,Mysore Road,1020.0,2.0,2,48.95
586,Jigani,1020.0,2.0,2,40.0
587,Koramangala,1253.0,2.0,2,102.0
588,Other,1180.0,2.0,2,42.0
589,Nehru Nagar,961.0,2.0,2,38.0
590,Kanakapura,1419.0,3.0,3,75.0
591,Harlur,1709.0,3.0,3,150.0
592,Other,1600.0,2.0,2,115.0
593,Other,416.0,1.0,1,18.5
594,Sanjay nagar,1100.0,2.0,2,98.0
595,HSR Layout,1430.0,2.0,3,65.0
596,Other,1260.0,2.0,2,45.0
597,Other,1630.0,3.0,3,85.0
598,Sarjapur  Road,1249.0,3.0,3,44.71
599,Kalena Agrahara,1450.0,2.0,3,85.0
600,Konanakunte,2791.0,3.0,3,223.0
601,Other,600.0,1.0,1,90.0
602,Other,834.0,1.0,1,60.0
603,Other,1125.0,4.0,3,70.0
604,Arekere,2060.0,3.0,3,140.0
606,Gottigere,891.0,2.0,2,25.0
607,Raja Rajeshwari Nagar,1133.0,2.0,2,49.07
608,Bisuvanahalli,1075.0,2.0,3,37.0
609,Other,3000.0,5.0,4,260.0
611,Vidyaranyapura,1200.0,2.0,2,55.0
612,Thanisandra,1075.0,2.0,2,45.8
613,Kaggadasapura,1140.0,2.0,2,40.0
614,Margondanahalli,940.0,4.0,5,150.0
616,Raja Rajeshwari Nagar,1090.0,2.0,2,42.0
617,R.T. Nagar,1500.0,4.0,4,70.0
619,Whitefield,1790.0,3.0,3,100.0
620,Hebbal,1920.0,3.0,3,134.0
621,HRBR Layout,1374.0,2.0,2,95.0
622,Bannerghatta Road,1445.0,3.0,3,95.0
623,Kanakapura,711.0,1.0,1,36.0
624,Tumkur Road,1500.0,3.0,3,95.0
625,Whitefield,1720.0,3.0,3,100.0
626,Vasanthapura,1400.0,3.0,3,60.0
627,Kundalahalli,1030.0,2.0,2,49.0
628,Mysore Road,1200.0,2.0,2,85.0
629,Other,1375.0,3.0,3,70.0
630,Hegde Nagar,1050.0,1.0,2,56.0
631,Jalahalli,2250.0,3.0,3,160.0
632,Bellandur,1000.0,2.0,2,50.0
633,Other,469.0,1.0,1,25.0
634,Marathahalli,3800.0,4.0,4,250.0
635,Kambipura,883.0,2.0,2,29.0
636,GM Palaya,1820.0,2.0,3,86.0
637,Singasandra,1440.0,2.0,3,65.0
639,Malleshwaram,2500.0,5.0,4,325.0
